accuracy,bath_type,bed_type,unit_type,checkin,cleanliness,communication,guest_satisfaction,is_superhost,latitude,location,longitude,num_baths,num_beds,num_guests,num_host_reviews,num_reviews,num_rooms,price,rating,response_time_shown,room_id,room_type,short_desc,value,url,site,sq_ft,min_nights,row_number,content
10,baths,beds,bedrooms,10,9,10,100,NA,38.05663,10,-78.43222,2,3,5,NA,10,3,175,5,NA,20841964,NA,NA,9,https://www.airbnb.com/rooms/20841964,AirBnB,NA,NA,66,"<a href='https://www.airbnb.com/rooms/20841964'>AirBnB--20841964</a>
<br>
row-num:66"
10,baths,beds,bedrooms,10,9,10,95,NA,38.02565,10,-78.51204,2,6,5,NA,43,4,155,5,NA,20846106,NA,NA,9,https://www.airbnb.com/rooms/20846106,AirBnB,NA,NA,67,"<a href='https://www.airbnb.com/rooms/20846106'>AirBnB--20846106</a>
<br>
row-num:67"
10,shared bath,bed,bedroom,10,10,10,99,NA,38.0202,10,-78.48129,1,1,1,NA,75,1,46.77777777777778,5,NA,21043207,NA,NA,10,https://www.airbnb.com/rooms/21043207,AirBnB,NA,NA,68,"<a href='https://www.airbnb.com/rooms/21043207'>AirBnB--21043207</a>
<br>
row-num:68"
10,private bath,bed,bedroom,10,10,10,97,NA,38.03192,10,-78.4902,1,1,2,NA,106,1,45,5,NA,21091524,NA,NA,10,https://www.airbnb.com/rooms/21091524,AirBnB,NA,NA,69,"<a href='https://www.airbnb.com/rooms/21091524'>AirBnB--21091524</a>
<br>
row-num:69"
NA,baths,beds,bedrooms,NA,NA,NA,NA,NA,38.05214,NA,-78.48835,4.5,5,0,NA,NA,5,999,NA,NA,21204898,NA,NA,NA,https://www.airbnb.com/rooms/21204898,AirBnB,NA,NA,70,"<a href='https://www.airbnb.com/rooms/21204898'>AirBnB--21204898</a>
<br>
row-num:70"
10,bath,beds,bedrooms,10,10,10,100,NA,38.0213,10,-78.4821,1,3,7,NA,93,3,150,5,NA,21413176,NA,NA,10,https://www.airbnb.com/rooms/21413176,AirBnB,NA,NA,71,"<a href='https://www.airbnb.com/rooms/21413176'>AirBnB--21413176</a>
<br>
row-num:71"
NA,bath,bed,bedroom,NA,NA,NA,NA,NA,38.03791,NA,-78.47846,1,1,2,NA,NA,1,200,NA,NA,21796270,NA,NA,NA,https://www.airbnb.com/rooms/21796270,AirBnB,NA,NA,72,"<a href='https://www.airbnb.com/rooms/21796270'>AirBnB--21796270</a>
<br>
row-num:72"
10,shared bath,bed,bedroom,10,10,10,96,NA,38.02087,10,-78.49163,1,1,2,NA,94,1,70,5,NA,21935426,NA,NA,10,https://www.airbnb.com/rooms/21935426,AirBnB,NA,NA,73,"<a href='https://www.airbnb.com/rooms/21935426'>AirBnB--21935426</a>
<br>
row-num:73"
10,bath,beds,bedrooms,10,10,10,97,NA,38.02333,10,-78.50342,1,3,4,NA,157,2,90,5,NA,22097621,NA,NA,10,https://www.airbnb.com/rooms/22097621,AirBnB,NA,NA,74,"<a href='https://www.airbnb.com/rooms/22097621'>AirBnB--22097621</a>
<br>
row-num:74"
10,bath,beds,bedroom,10,10,10,98,NA,38.02579,10,-78.47593,1,2,3,NA,143,1,63,5,NA,22626013,NA,NA,10,https://www.airbnb.com/rooms/22626013,AirBnB,NA,NA,75,"<a href='https://www.airbnb.com/rooms/22626013'>AirBnB--22626013</a>
<br>
row-num:75"
10,bath,beds,bedrooms,10,10,10,99,NA,38.03125,10,-78.46426,1,3,5,NA,158,2,118,5,NA,22764510,NA,NA,10,https://www.airbnb.com/rooms/22764510,AirBnB,NA,NA,76,"<a href='https://www.airbnb.com/rooms/22764510'>AirBnB--22764510</a>
<br>
row-num:76"
10,bath,beds,bedroom,10,10,10,98,NA,38.0487,10,-78.46341,1,2,3,NA,61,1,100,5,NA,22794509,NA,NA,10,https://www.airbnb.com/rooms/22794509,AirBnB,NA,NA,77,"<a href='https://www.airbnb.com/rooms/22794509'>AirBnB--22794509</a>
<br>
row-num:77"
10,bath,bed,Studio,10,10,10,99,NA,38.0272,10,-78.47671,1,1,2,NA,57,0,120,5,NA,22815865,NA,NA,10,https://www.airbnb.com/rooms/22815865,AirBnB,NA,NA,78,"<a href='https://www.airbnb.com/rooms/22815865'>AirBnB--22815865</a>
<br>
row-num:78"
10,bath,beds,bedrooms,10,10,10,100,NA,38.02661,10,-78.47699,1,4,6,NA,62,3,199,5,NA,22944571,NA,NA,10,https://www.airbnb.com/rooms/22944571,AirBnB,NA,NA,79,"<a href='https://www.airbnb.com/rooms/22944571'>AirBnB--22944571</a>
<br>
row-num:79"
10,bath,bed,bedroom,10,10,10,98,NA,38.02289,10,-78.47395,1,1,4,NA,187,1,70.25,5,NA,23004014,NA,NA,10,https://www.airbnb.com/rooms/23004014,AirBnB,NA,NA,80,"<a href='https://www.airbnb.com/rooms/23004014'>AirBnB--23004014</a>
<br>
row-num:80"
10,bath,beds,bedrooms,10,10,10,99,NA,38.02692,10,-78.48636,1,2,6,NA,32,2,160,5,NA,23163410,NA,NA,10,https://www.airbnb.com/rooms/23163410,AirBnB,NA,NA,81,"<a href='https://www.airbnb.com/rooms/23163410'>AirBnB--23163410</a>
<br>
row-num:81"
10,bath,beds,bedroom,10,10,10,97,NA,38.02612,10,-78.47463,1,2,3,NA,159,1,57.59090909090909,5,NA,23271179,NA,NA,10,https://www.airbnb.com/rooms/23271179,AirBnB,NA,NA,82,"<a href='https://www.airbnb.com/rooms/23271179'>AirBnB--23271179</a>
<br>
row-num:82"
10,bath,bed,bedroom,10,10,10,100,NA,38.0302,10,-78.50518,1,1,2,NA,26,1,150,5,NA,23336579,NA,NA,10,https://www.airbnb.com/rooms/23336579,AirBnB,NA,NA,83,"<a href='https://www.airbnb.com/rooms/23336579'>AirBnB--23336579</a>
<br>
row-num:83"
10,bath,beds,bedroom,10,10,10,99,NA,38.01757,10,-78.51758,1,3,4,NA,30,1,195,5,NA,23416479,NA,NA,10,https://www.airbnb.com/rooms/23416479,AirBnB,NA,NA,84,"<a href='https://www.airbnb.com/rooms/23416479'>AirBnB--23416479</a>
<br>
row-num:84"
10,bath,beds,bedroom,10,10,10,100,NA,38.05662,10,-78.46266,1,2,4,NA,132,1,70,5,NA,23542836,NA,NA,10,https://www.airbnb.com/rooms/23542836,AirBnB,NA,NA,85,"<a href='https://www.airbnb.com/rooms/23542836'>AirBnB--23542836</a>
<br>
row-num:85"
10,baths,beds,bedrooms,10,10,10,96,NA,38.06949,10,-78.49211,2,4,7,NA,134,3,174,5,NA,236217,NA,NA,10,https://www.airbnb.com/rooms/236217,AirBnB,NA,NA,86,"<a href='https://www.airbnb.com/rooms/236217'>AirBnB--236217</a>
<br>
row-num:86"
10,bath,beds,bedroom,10,10,10,98,NA,38.02619,10,-78.48698,1,2,2,NA,68,1,60,5,NA,23626199,NA,NA,10,https://www.airbnb.com/rooms/23626199,AirBnB,NA,NA,87,"<a href='https://www.airbnb.com/rooms/23626199'>AirBnB--23626199</a>
<br>
row-num:87"
10,bath,beds,bedrooms,10,10,10,98,NA,38.01404,10,-78.48046,1,5,7,NA,18,3,183,5,NA,23693768,NA,NA,10,https://www.airbnb.com/rooms/23693768,AirBnB,NA,NA,88,"<a href='https://www.airbnb.com/rooms/23693768'>AirBnB--23693768</a>
<br>
row-num:88"
